GEO_id,GEO_id2,GEO_displaylabel,NAICS_id,NAICS_display-label,YEAR_id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,CSTMTOT,RCPTOT,VALADD,CEXTOT
E600000US3605531797,3605531797,"Hamlin town, New York",31-33,Manufacturing,2012,5,6,0,15,557,9,18,332,470,1523,1053,43
E600000US3605534099,3605534099,"Henrietta town, New York",31-33,Manufacturing,2012,1,80,37,4412,248409,2581,5125,109927,876101,1665005,801005,59636
E600000US3605534847,3605534847,"Hilton village, New York",31-33,Manufacturing,2012,9,3,0,22,999,D,35,D,818,3083,2265,D
E600000US3605535364,3605535364,"Honeoye Falls village, New York",31-33,Manufacturing,2012,0,8,5,479,23071,283,620,11271,22564,108078,84998,D
E600000US3605537726,3605537726,"Irondequoit town, New York",31-33,Manufacturing,2012,1,14,1,128,4203,89,141,2488,2361,10729,8317,D
E600000US3605546558,3605546558,"Mendon town (balance), New York",31-33,Manufacturing,2012,3,4,0,13,444,8,12,199,D,D,1715,D
E600000US3605554474,3605554474,"Ogden town (balance), New York",31-33,Manufacturing,2012,0,18,13,858,44321,482,982,21596,53248,115403,62081,18142
E600000US3605556561,3605556561,"Parma town (balance), New York",31-33,Manufacturing,2012,1,10,2,67,4008,40,87,1832,4816,D,8600,D
E600000US3605557144,3605557144,"Penfield town, New York",31-33,Manufacturing,2012,0,21,6,1209,78072,733,1101,21113,93260,D,280138,11385
E600000US3605557221,3605557221,"Perinton town (balance), New York",31-33,Manufacturing,2012,3,40,17,1125,55708,642,1218,23633,154676,340009,185504,D
E600000US3605558354,3605558354,"Pittsford village, New York",31-33,Manufacturing,2012,6,5,0,25,846,13,20,385,1414,3092,1678,0
E600000US3605558365,3605558365,"Pittsford town (balance), New York",31-33,Manufacturing,2012,0,21,5,670,36923,424,842,16252,135043,201528,68081,D
E600000US3605561808,3605561808,"Riga town, New York",31-33,Manufacturing,2012,0,11,2,124,5236,75,136,2867,37728,52628,14913,D
E600000US3605563000,3605563000,"Rochester city, New York",31-33,Manufacturing,2012,2,417,140,19217,1164774,11992,24002,617338,3429261,7492308,4042857,163552
E600000US3605572455,3605572455,"Sweden town (balance), New York",31-33,Manufacturing,2012,1,3,1,b,D,D,D,D,D,D,D,D
